GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"RegressionTest1 (Mar 16, 2023 1:52:14 PM)/pa1/src/main/java",comp5111.assignment,Counter,501,0,40,0,63,0,37,0,17,0
"RegressionTest1 (Mar 16, 2023 1:52:14 PM)/pa1/src/main/java",comp5111.assignment,EntryPoint,407,0,12,0,76,0,13,0,7,0
"RegressionTest1 (Mar 16, 2023 1:52:14 PM)/pa1/src/main/java",comp5111.assignment,Instrumenter,221,0,22,0,48,0,14,0,3,0
"RegressionTest1 (Mar 16, 2023 1:52:14 PM)/pa1/src/main/java",comp5111.assignment,Assignment1,65,0,12,0,12,0,8,0,2,0
"RegressionTest1 (Mar 16, 2023 1:52:14 PM)/pa1/src/main/java",comp5111.assignment,BranchInfo,75,0,26,0,22,0,15,0,2,0
"RegressionTest1 (Mar 16, 2023 1:52:14 PM)/pa1/src/main/java",comp5111.assignment,StatementInfo,41,0,0,0,7,0,2,0,2,0
"RegressionTest1 (Mar 16, 2023 1:52:14 PM)/pa1/src/main/java",comp5111.assignment.cut,Subject.NumberTasks,445,277,135,41,109,57,91,13,6,9
"RegressionTest1 (Mar 16, 2023 1:52:14 PM)/pa1/src/main/java",comp5111.assignment.cut,Subject.BooleanTasks,0,14,0,4,0,4,0,4,0,2
"RegressionTest1 (Mar 16, 2023 1:52:14 PM)/pa1/src/main/java",comp5111.assignment.cut,Subject.GregorianTasks,65,295,18,76,8,60,16,38,0,7
"RegressionTest1 (Mar 16, 2023 1:52:14 PM)/pa1/src/main/java",comp5111.assignment.cut,Subject.CharTasks,5,66,7,17,0,9,7,14,0,9
"RegressionTest1 (Mar 16, 2023 1:52:14 PM)/pa1/src/main/java",comp5111.assignment.cut,Subject.ArrayTasks,2,77,1,21,1,19,1,17,0,7
"RegressionTest1 (Mar 16, 2023 1:52:14 PM)/pa1/src/main/java",comp5111.assignment.cut,Subject,0,3,0,0,0,1,0,1,0,1
"RegressionTest1 (Mar 16, 2023 1:52:14 PM)/pa1/src/main/java",comp5111.assignment.cut,Subject.StringTasks,152,482,56,96,34,123,39,53,0,16
"RegressionTest1 (Mar 16, 2023 1:52:14 PM)/pa1/src/main/java",comp5111.assignment.cut,Subject.FilenameTasks,208,205,64,34,50,50,43,17,0,11
