[Coverage of Each Statement]
_______________________________________________________________________________________________________________
| Statement                                                                                           |Covered?|
|-----------------------------------------------------------------------------------------------------|-------|
| specialinvoke l0.<java.lang.Object: void <init>()>()                                                |   Y   |
| return $stack1                                                                                      |   Y   |
| $stack2 = l0 - l1                                                                                   |   Y   |
| $stack18 = 2 * l5                                                                                   |   Y   |
| $stack2)...                                                                                         |   N   |
| l1 = 1                                                                                              |   N   |
| if $stack1 != 0 goto $stack3 = 1                                                                    |   Y   |
| return 0                                                                                            |   N   |
| return 0                                                                                            |   Y   |
| if l3 >= 0 goto l4 = virtualinvoke l0.<java.lang.String: int length()>()                            |   Y   |
| $stack23 = virtualinvoke l0.<java.lang.String: int indexOf(int)>(69)                                |   Y   |
| $stack12 = l1 instanceof java.lang.String                                                           |   Y   |
| return $stack12                                                                                     |   N   |
| $stack2 = -1                                                                                        |   Y   |
| if l3 == 0 goto $stack11 = $stack9                                                                  |   N   |
| $stack17 = lengthof l2                                                                              |   Y   |
| $stack4 = virtualinvoke l0.<java.lang.String: char charAt(int)>($stack3)                            |   Y   |
| return 30                                                                                           |   Y   |
| l4 = 0                                                                                              |   Y   |
| if l7#20 != null goto l12#8...                                                                      |   N   |
| l4 = l4 + -1                                                                                        |   Y   |
| $stack10 = staticinvoke <java.lang.Character: boolean isDigit(char)>($stack9)                       |   Y   |
| $stack4 = 0                                                                                         |   N   |
| if $stack10 != 0 goto l3 = l3 + 1                                                                   |   Y   |
| <comp5111.assignment.cut.Subject$FilenameTasks: java.util.regex.Pattern IPV4_PATTERN> = $stack1     |   Y   |
| if $stack13 == 0 goto (branch)                                                                      |   Y   |
| if $stack119 == 0 goto $stack101 = l2                                                               |   Y   |
| $stack10 = virtualinvoke $stack9.<java.util.regex.Matcher: boolean matches()>()                     |   Y   |
| return                                                                                              |   Y   |
| return 20                                                                                           |   Y   |
| if l2 != 0 goto (branch)                                                                            |   Y   |
| $stack12 = l2[0]                                                                                    |   Y   |
| l10 = $stack24 + 1                                                                                  |   Y   |
| if l0 != null goto $stack1 = interfaceinvoke l0.<java.lang.CharSequence: int length()>()            |   Y   |
| return l0                                                                                           |   Y   |
| $stack28 = new java.util.ArrayList                                                                  |   N   |
| goto [?= return $stack1]                                                                            |   N   |
| $stack12 = virtualinvoke l0.<java.lang.String: char charAt(int)>($stack11)                          |   N   |
| $stack17 = l8 + 1                                                                                   |   N   |
| return 0                                                                                            |   Y   |
| $stack2 = new java.lang.IllegalArgumentException                                                    |   N   |
| l4 = virtualinvoke l0.<java.lang.String: char charAt(int)>(l2)                                      |   Y   |
| if l8 != 63 goto (branch)                                                                           |   N   |
| if l6 != 16 goto (branch)                                                                           |   N   |
| l6#28 = staticinvoke <comp5...                                                                      |   Y   |
| goto [?= (branch)]                                                                                  |   N   |
| $stack110 = l2                                                                                      |   N   |
| return 1                                                                                            |   N   |
| if $stack68 != 45 goto $sta...                                                                      |   N   |
| $stack24 = virtualinvoke l6.<java.lang.String: boolean contains(java.lang.CharSequence)>(".")       |   Y   |
| return 0                                                                                            |   N   |
